Referencia;Categoria;Endereco;Endereco Numero;Endereco Complemento;Dormitorio;Valor venda;Valor Aluguel;Bairro Comercial;Empreendimento;Valor M2 Aluguel;Valor M2 venda;Valor total aluguel;Data cadastro;Data atualizacao;Equipes do Imovel;Corretores do Imovel;Nome;Publicar Viva Real VRSync;Publicar Viva Real VRSync 2;Status;Area Privativa;Tem Placa;Vagas;Suite;Ano de Construção;Lançamento
Espaçoso e iluminado;Cobertura;Av. Paulista;191.0;Av. Ipiranga;2.0;413400.0;0.0;Moema;Moderno e funcional;0.0;66.776.859.504.132;1600.0;30/01/2005;01/03/2005;;Excelente oportunidade;Totalmente reformado;Imóvel bem localizado;Imóvel bem localizado;Espaçoso e iluminado;59.0;Totalmente reformado;1.0;0.0;0;Espaçoso e iluminado
Moderno e funcional;Studio;Rua Oscar Freire;513.0;Rua Oscar Freire;4.0;0.0;4300.0;Pinheiros;;16.666.666.666.667;0.0;5700.0;02/02/2005;04/03/2005;;Moderno e funcional;Excelente oportunidade;Imóvel bem localizado;Excelente oportunidade;Imóvel bem localizado;283.0;Totalmente reformado;3.0;2.0;0;Excelente oportunidade
Imóvel bem localizado;Casa;Rua Oscar Freire;100.0;Av. Ipiranga;2.0;357800.0;0.0;Tatuapé;Imóvel bem localizado;0.0;47.692.307.692.308;500.0;05/02/2005;07/03/2005;;Imóvel bem localizado;Espaçoso e iluminado;Imóvel bem localizado;Totalmente reformado;Totalmente reformado;86.0;Excelente oportunidade;1.0;0.0;0;Totalmente reformado
Excelente oportunidade;Ponto Comercial;Rua Augusta;100.0;Av. Angélica;2.0;296200.0;0.0;Higienópolis;Imóvel bem localizado;0.0;5.377.358.490.566;300.0;08/02/2005;10/03/2005;;Imóvel bem localizado;Moderno e funcional;Excelente oportunidade;Excelente oportunidade;Imóvel bem localizado;55.0;Totalmente reformado;0.0;0.0;0;Espaçoso e iluminado
Totalmente reformado;Studio;Rua Augusta;171.0;Rua Oscar Freire;2.0;526800.0;0.0;Tatuapé;Excelente oportunidade;0.0;71.492.537.313.433;700.0;10/02/2005;12/03/2005;;Imóvel bem localizado;Excelente oportunidade;Imóvel bem localizado;Espaçoso e iluminado;Espaçoso e iluminado;61.0;Imóvel bem localizado;1.0;0.0;0;Imóvel bem localizado
Excelente oportunidade;Studio;Av. Ipiranga;850.0;Av. Angélica;3.0;685600.0;0.0;Higienópolis;Espaçoso e iluminado;0.0;8.010.752.688.172;900.0;13/02/2005;15/03/2005;;Moderno e funcional;Espaçoso e iluminado;Moderno e funcional;Espaçoso e iluminado;Espaçoso e iluminado;96.0;Espaçoso e iluminado;2.0;1.0;0;Totalmente reformado
Imóvel bem localizado;Studio;Rua Bela Cintra;544.0;Rua Bela Cintra;0.0;0.0;4000.0;Tatuapé;;3.304.347.826.087;0.0;4100.0;16/02/2005;18/03/2005;;Excelente oportunidade;Espaçoso e iluminado;Totalmente reformado;Moderno e funcional;Espaçoso e iluminado;137.0;Imóvel bem localizado;0.0;0.0;0;Espaçoso e iluminado
Moderno e funcional;Casa;Rua Oscar Freire;352.0;Av. Paulista;3.0;583900.0;0.0;Higienópolis;Espaçoso e iluminado;0.0;5000.0;2600.0;19/02/2005;21/03/2005;;Espaçoso e iluminado;Espaçoso e iluminado;Excelente oportunidade;Excelente oportunidade;Imóvel bem localizado;118.0;Totalmente reformado;1.0;1.0;0;Imóvel bem localizado
Imóvel bem localizado;Sobrado;Rua Augusta;1056.0;Rua Oscar Freire;3.0;1904000.0;0.0;Santa Cecília;Totalmente reformado;0.0;53.626.943.005.181;5700.0;22/02/2005;24/03/2005;;Excelente oportunidade;Totalmente reformado;Excelente oportunidade;Excelente oportunidade;Excelente oportunidade;386.0;Espaçoso e iluminado;5.0;3.0;0;Totalmente reformado
Espaçoso e iluminado;Studio;Av. Ipiranga;835.0;Rua Augusta;2.0;220900.0;0.0;Moema;Imóvel bem localizado;0.0;47.222.222.222.222;300.0;25/02/2005;27/03/2005;;Imóvel bem localizado;Totalmente reformado;Totalmente reformado;Espaçoso e iluminado;Excelente oportunidade;53.0;Imóvel bem localizado;1.0;0.0;0;Excelente oportunidade
Imóvel bem localizado;Ponto Comercial;Av. Ipiranga;44.0;Rua Augusta;4.0;441600.0;0.0;Higienópolis;Totalmente reformado;0.0;65.384.615.384.615;400.0;28/02/2005;30/03/2005;;Totalmente reformado;Excelente oportunidade;Moderno e funcional;Imóvel bem localizado;Espaçoso e iluminado;61.0;Totalmente reformado;1.0;0.0;0;Imóvel bem localizado
Excelente oportunidade;Casa;Rua Augusta;1150.0;Rua Augusta;0.0;0.0;35900.0;Vila Mariana;;18.002.028.397.566;0.0;37500.0;03/03/2005;02/04/2005;;Excelente oportunidade;Excelente oportunidade;Moderno e funcional;Totalmente reformado;Espaçoso e iluminado;1817.0;Moderno e funcional;0.0;0.0;0;Imóvel bem localizado
Moderno e funcional;Casa;Av. Paulista;740.0;Rua Bela Cintra;0.0;0.0;74100.0;Vila Mariana;;17.711.171.662.125;0.0;60300.0;06/03/2005;05/04/2005;;Excelente oportunidade;Moderno e funcional;Excelente oportunidade;Moderno e funcional;Moderno e funcional;3782.0;Espaçoso e iluminado;0.0;0.0;0;Excelente oportunidade
Espaçoso e iluminado;Sobrado;Rua Bela Cintra;151.0;Av. Angélica;0.0;0.0;21000.0;Tatuapé;;10.162.601.626.016;0.0;44200.0;09/03/2005;08/04/2005;;Totalmente reformado;Moderno e funcional;Espaçoso e iluminado;Espaçoso e iluminado;Moderno e funcional;1893.0;Espaçoso e iluminado;12.0;0.0;0;Espaçoso e iluminado
Excelente oportunidade;Cobertura;Av. Ipiranga;685.0;Rua Augusta;0.0;280000.0;0.0;Vila Mariana;Excelente oportunidade;0.0;76.923.076.923.077;0.0;12/03/2005;11/04/2005;;Moderno e funcional;Totalmente reformado;Excelente oportunidade;Excelente oportunidade;Excelente oportunidade;44.0;Espaçoso e iluminado;1.0;0.0;0;Totalmente reformado
Totalmente reformado;Ponto Comercial;Av. Angélica;48.0;Rua Bela Cintra;2.0;609400.0;0.0;Moema;;0.0;44.166.666.666.667;0.0;15/03/2005;14/04/2005;;Imóvel bem localizado;Excelente oportunidade;Imóvel bem localizado;Excelente oportunidade;Moderno e funcional;122.0;Imóvel bem localizado;0.0;0.0;0;Excelente oportunidade
Imóvel bem localizado;Studio;Rua Augusta;75.0;Av. Paulista;3.0;0.0;2600.0;Higienópolis;Imóvel bem localizado;31.944.444.444.444;0.0;2900.0;18/03/2005;17/04/2005;;Excelente oportunidade;Imóvel bem localizado;Imóvel bem localizado;Totalmente reformado;Totalmente reformado;68.0;Imóvel bem localizado;1.0;1.0;0;Excelente oportunidade
Totalmente reformado;Ponto Comercial;Av. Ipiranga;391.0;Av. Ipiranga;3.0;776300.0;0.0;Higienópolis;Totalmente reformado;0.0;6000.0;0.0;20/03/2005;19/04/2005;;Imóvel bem localizado;Totalmente reformado;Imóvel bem localizado;Totalmente reformado;Moderno e funcional;183.0;Totalmente reformado;2.0;1.0;0;Espaçoso e iluminado
Excelente oportunidade;Casa;Rua Bela Cintra;186.0;Rua Oscar Freire;2.0;0.0;2200.0;Moema;Totalmente reformado;3.231.884.057.971;0.0;2900.0;23/03/2005;22/04/2005;;Espaçoso e iluminado;Moderno e funcional;Moderno e funcional;Totalmente reformado;Totalmente reformado;67.0;Excelente oportunidade;1.0;1.0;0;Espaçoso e iluminado
Imóvel bem localizado;Sobrado;Rua Oscar Freire;323.0;Rua Augusta;0.0;0.0;24100.0;Vila Mariana;;18.333.333.333.333;0.0;23800.0;26/03/2005;25/04/2005;;Excelente oportunidade;Espaçoso e iluminado;Imóvel bem localizado;Moderno e funcional;Imóvel bem localizado;1314.0;Moderno e funcional;3.0;0.0;0;Espaçoso e iluminado
Totalmente reformado;Cobertura;Rua Bela Cintra;55.0;Rua Bela Cintra;4.0;1189400.0;0.0;Tatuapé;Espaçoso e iluminado;0.0;62.352.941.176.471;2700.0;29/03/2005;28/04/2005;;Espaçoso e iluminado;Totalmente reformado;Imóvel bem localizado;Excelente oportunidade;Excelente oportunidade;198.0;Moderno e funcional;3.0;2.0;1995;Espaçoso e iluminado
Imóvel bem localizado;Ponto Comercial;Rua Augusta;55.0;Rua Oscar Freire;3.0;1104700.0;0.0;Vila Mariana;Totalmente reformado;0.0;55.789.473.684.211;1500.0;01/04/2005;01/05/2005;;Excelente oportunidade;Moderno e funcional;Imóvel bem localizado;Totalmente reformado;Totalmente reformado;192.0;Totalmente reformado;4.0;3.0;2006;Espaçoso e iluminado
Moderno e funcional;Cobertura;Av. Angélica;3032.0;Av. Angélica;0.0;0.0;17100.0;Santa Cecília;;40.540.540.540.541;0.0;14500.0;04/04/2005;04/05/2005;;Imóvel bem localizado;Moderno e funcional;Espaçoso e iluminado;Espaçoso e iluminado;Excelente oportunidade;363.0;Espaçoso e iluminado;3.0;0.0;2010;Totalmente reformado
Espaçoso e iluminado;Sobrado;Rua Oscar Freire;156.0;Rua Oscar Freire;3.0;443800.0;0.0;Vila Mariana;Moderno e funcional;0.0;47.619.047.619.048;800.0;07/04/2005;07/05/2005;;Totalmente reformado;Moderno e funcional;Espaçoso e iluminado;Imóvel bem localizado;Moderno e funcional;82.0;Imóvel bem localizado;1.0;0.0;0;Moderno e funcional
Espaçoso e iluminado;Ponto Comercial;Rua Augusta;505.0;Rua Augusta;4.0;835300.0;0.0;Higienópolis;;0.0;42.380.952.380.952;200.0;10/04/2005;10/05/2005;;Espaçoso e iluminado;Moderno e funcional;Totalmente reformado;Espaçoso e iluminado;Moderno e funcional;200.0;Excelente oportunidade;3.0;3.0;0;Imóvel bem localizado
Excelente oportunidade;Studio;Av. Ipiranga;468.0;Av. Angélica;3.0;1276600.0;0.0;Vila Mariana;;0.0;32.324.103.856.441;0.0;13/04/2005;13/05/2005;;Moderno e funcional;Moderno e funcional;Moderno e funcional;Moderno e funcional;Excelente oportunidade;360.0;Espaçoso e iluminado;6.0;0.0;0;Totalmente reformado
Moderno e funcional;Ponto Comercial;Rua Augusta;15.0;Rua Augusta;2.0;0.0;1300.0;Vila Mariana;Totalmente reformado;23.275.862.068.966;0.0;1500.0;16/04/2005;16/05/2005;;Excelente oportunidade;Imóvel bem localizado;Moderno e funcional;Espaçoso e iluminado;Espaçoso e iluminado;60.0;Excelente oportunidade;1.0;0.0;0;Totalmente reformado
Espaçoso e iluminado;Ponto Comercial;Rua Oscar Freire;4800.0;Av. Angélica;3.0;349500.0;0.0;Pinheiros;Moderno e funcional;0.0;49.879.322.990.993;200.0;19/04/2005;19/05/2005;;Totalmente reformado;Totalmente reformado;Imóvel bem localizado;Totalmente reformado;Excelente oportunidade;61.0;Espaçoso e iluminado;1.0;1.0;2014;Excelente oportunidade
Totalmente reformado;Sobrado;Rua Augusta;107.0;Av. Paulista;0.0;0.0;1100.0;Vila Mariana;;100.0;0.0;1700.0;22/04/2005;22/05/2005;;Espaçoso e iluminado;Espaçoso e iluminado;Excelente oportunidade;Totalmente reformado;Imóvel bem localizado;29.0;Totalmente reformado;0.0;0.0;0;Excelente oportunidade
Totalmente reformado;Studio;Av. Ipiranga;107.0;Av. Ipiranga;0.0;0.0;2400.0;Moema;;100.0;0.0;2500.0;25/04/2005;25/05/2005;;Moderno e funcional;Espaçoso e iluminado;Espaçoso e iluminado;Totalmente reformado;Totalmente reformado;47.0;Espaçoso e iluminado;0.0;0.0;0;Imóvel bem localizado
Espaçoso e iluminado;Casa;Av. Paulista;229.0;Rua Bela Cintra;2.0;0.0;2300.0;Tatuapé;Totalmente reformado;19.047.619.047.619;0.0;2600.0;27/04/2005;27/05/2005;;Espaçoso e iluminado;Excelente oportunidade;Espaçoso e iluminado;Excelente oportunidade;Moderno e funcional;116.0;Espaçoso e iluminado;1.0;0.0;1995;Imóvel bem localizado
Imóvel bem localizado;Casa;Av. Paulista;71.0;Av. Paulista;1.0;338300.0;0.0;Tatuapé;Espaçoso e iluminado;0.0;78.048.780.487.805;600.0;30/04/2005;30/05/2005;;Imóvel bem localizado;Totalmente reformado;Espaçoso e iluminado;Excelente oportunidade;Imóvel bem localizado;45.0;Espaçoso e iluminado;1.0;0.0;2005;Imóvel bem localizado
Totalmente reformado;Apartamento;Av. Angélica;1439.0;Rua Oscar Freire;0.0;0.0;2100.0;Vila Mariana;;62.857.142.857.143;0.0;2300.0;03/05/2005;02/06/2005;;Espaçoso e iluminado;Espaçoso e iluminado;Espaçoso e iluminado;Espaçoso e iluminado;Totalmente reformado;37.0;Espaçoso e iluminado;0.0;0.0;0;Espaçoso e iluminado
Espaçoso e iluminado;Casa;Av. Ipiranga;656.0;Av. Paulista;3.0;0.0;2900.0;Tatuapé;Excelente oportunidade;30.769.230.769.231;0.0;4000.0;06/05/2005;05/06/2005;;Espaçoso e iluminado;Imóvel bem localizado;Imóvel bem localizado;Totalmente reformado;Imóvel bem localizado;92.0;Moderno e funcional;2.0;1.0;0;Excelente oportunidade
Moderno e funcional;Cobertura;Av. Angélica;303.0;Rua Oscar Freire;0.0;0.0;2600.0;Moema;;39.655.172.413.793;0.0;3100.0;09/05/2005;08/06/2005;;Espaçoso e iluminado;Moderno e funcional;Moderno e funcional;Moderno e funcional;Imóvel bem localizado;56.0;Excelente oportunidade;2.0;0.0;0;Totalmente reformado
Imóvel bem localizado;Studio;Rua Augusta;1648.0;Rua Augusta;0.0;0.0;2300.0;Moema;;13.157.894.736.842;0.0;1700.0;12/05/2005;11/06/2005;;Moderno e funcional;Totalmente reformado;Totalmente reformado;Moderno e funcional;Totalmente reformado;176.0;Excelente oportunidade;0.0;0.0;0;Moderno e funcional
Imóvel bem localizado;Casa;Rua Augusta;343.0;Av. Angélica;4.0;995500.0;0.0;Higienópolis;Totalmente reformado;0.0;39.130.434.782.609;2300.0;15/05/2005;14/06/2005;;Totalmente reformado;Imóvel bem localizado;Imóvel bem localizado;Imóvel bem localizado;Imóvel bem localizado;212.0;Excelente oportunidade;3.0;2.0;0;Totalmente reformado
Espaçoso e iluminado;Sobrado;Rua Augusta;3200.0;Av. Paulista;2.0;528300.0;0.0;Santa Cecília;Excelente oportunidade;0.0;67.948.717.948.718;1200.0;18/05/2005;17/06/2005;;Espaçoso e iluminado;Excelente oportunidade;Espaçoso e iluminado;Espaçoso e iluminado;Espaçoso e iluminado;91.0;Moderno e funcional;1.0;2.0;0;Moderno e funcional
Moderno e funcional;Cobertura;Rua Augusta;217.0;Av. Angélica;2.0;501600.0;0.0;Higienópolis;Excelente oportunidade;0.0;57.954.545.454.545;1300.0;21/05/2005;20/06/2005;;Moderno e funcional;Moderno e funcional;Espaçoso e iluminado;Totalmente reformado;Excelente oportunidade;103.0;Totalmente reformado;2.0;0.0;0;Moderno e funcional
Moderno e funcional;Cobertura;Rua Bela Cintra;1187.0;Av. Paulista;2.0;382000.0;0.0;Tatuapé;Totalmente reformado;0.0;5800.0;600.0;24/05/2005;23/06/2005;;Excelente oportunidade;Espaçoso e iluminado;Espaçoso e iluminado;Moderno e funcional;Imóvel bem localizado;72.0;Moderno e funcional;1.0;1.0;0;Excelente oportunidade
Espaçoso e iluminado;Apartamento;Rua Bela Cintra;193.0;Rua Bela Cintra;0.0;0.0;3800.0;Higienópolis;;23.333.333.333.333;0.0;3200.0;27/05/2005;26/06/2005;;Espaçoso e iluminado;Imóvel bem localizado;Imóvel bem localizado;Imóvel bem localizado;Imóvel bem localizado;138.0;Imóvel bem localizado;2.0;0.0;0;Excelente oportunidade
Imóvel bem localizado;Sobrado;Rua Bela Cintra;515.0;Av. Paulista;2.0;271900.0;0.0;Vila Mariana;Espaçoso e iluminado;0.0;5.863.829.787.234;900.0;30/05/2005;29/06/2005;;Totalmente reformado;Excelente oportunidade;Moderno e funcional;Espaçoso e iluminado;Excelente oportunidade;52.0;Imóvel bem localizado;1.0;1.0;2012;Espaçoso e iluminado
Espaçoso e iluminado;Studio;Av. Angélica;341.0;Rua Oscar Freire;2.0;246400.0;0.0;Higienópolis;Imóvel bem localizado;0.0;50.363.636.363.636;300.0;02/06/2005;02/07/2005;;Totalmente reformado;Excelente oportunidade;Moderno e funcional;Excelente oportunidade;Moderno e funcional;58.0;Imóvel bem localizado;0.0;0.0;0;Totalmente reformado
Excelente oportunidade;Studio;Av. Paulista;1951.0;Rua Oscar Freire;0.0;0.0;2500.0;Tatuapé;;32.857.142.857.143;0.0;2400.0;04/06/2005;04/07/2005;;Moderno e funcional;Imóvel bem localizado;Imóvel bem localizado;Excelente oportunidade;Espaçoso e iluminado;72.0;Espaçoso e iluminado;1.0;0.0;0;Moderno e funcional
Moderno e funcional;Ponto Comercial;Rua Bela Cintra;247.0;Av. Paulista;3.0;1213200.0;0.0;Santa Cecília;;0.0;4100.0;300.0;07/06/2005;07/07/2005;;Moderno e funcional;Excelente oportunidade;Imóvel bem localizado;Espaçoso e iluminado;Moderno e funcional;297.0;Moderno e funcional;4.0;1.0;0;Imóvel bem localizado
Excelente oportunidade;Apartamento;Rua Bela Cintra;3.0;Rua Bela Cintra;5.0;1346900.0;0.0;Tatuapé;;0.0;42.857.142.857.143;400.0;10/06/2005;10/07/2005;;Espaçoso e iluminado;Moderno e funcional;Espaçoso e iluminado;Imóvel bem localizado;Moderno e funcional;366.0;Moderno e funcional;15.0;2.0;0;Totalmente reformado
Imóvel bem localizado;Cobertura;Av. Angélica;226.0;Av. Ipiranga;3.0;1051300.0;0.0;Moema;;0.0;37.214.285.714.286;0.0;13/06/2005;13/07/2005;;Totalmente reformado;Totalmente reformado;Imóvel bem localizado;Espaçoso e iluminado;Excelente oportunidade;327.0;Espaçoso e iluminado;4.0;1.0;0;Espaçoso e iluminado
Totalmente reformado;Apartamento;Rua Bela Cintra;208.0;Av. Paulista;0.0;1267900.0;0.0;Moema;;0.0;43.548.387.096.774;4900.0;16/06/2005;16/07/2005;;Imóvel bem localizado;Totalmente reformado;Excelente oportunidade;Totalmente reformado;Moderno e funcional;325.0;Excelente oportunidade;0.0;0.0;0;Imóvel bem localizado
Totalmente reformado;Sobrado;Av. Ipiranga;163.0;Rua Oscar Freire;0.0;2560500.0;0.0;Higienópolis;;0.0;36.443.148.688.047;7900.0;19/06/2005;19/07/2005;;Excelente oportunidade;Totalmente reformado;Imóvel bem localizado;Moderno e funcional;Moderno e funcional;666.0;Espaçoso e iluminado;0.0;0.0;0;Imóvel bem localizado
Totalmente reformado;Ponto Comercial;Rua Augusta;213.0;Av. Angélica;4.0;668200.0;0.0;Pinheiros;;0.0;22.575.757.575.758;100.0;22/06/2005;22/07/2005;;Totalmente reformado;Excelente oportunidade;Excelente oportunidade;Totalmente reformado;Imóvel bem localizado;363.0;Totalmente reformado;2.0;0.0;0;Imóvel bem localizado
Espaçoso e iluminado;Casa;Av. Paulista;120.0;Rua Oscar Freire;4.0;1439100.0;0.0;Tatuapé;;0.0;7500.0;700.0;25/06/2005;25/07/2005;;Totalmente reformado;Imóvel bem localizado;Imóvel bem localizado;Espaçoso e iluminado;Totalmente reformado;190.0;Imóvel bem localizado;7.0;2.0;0;Espaçoso e iluminado
Espaçoso e iluminado;Ponto Comercial;Av. Angélica;22.0;Av. Paulista;2.0;292700.0;0.0;Higienópolis;Imóvel bem localizado;0.0;59.606.374.713.254;0.0;28/06/2005;28/07/2005;;Espaçoso e iluminado;Totalmente reformado;Totalmente reformado;Moderno e funcional;Totalmente reformado;54.0;Excelente oportunidade;2.0;0.0;0;Excelente oportunidade
Imóvel bem localizado;Casa;Rua Oscar Freire;152.0;Av. Paulista;4.0;1037900.0;0.0;Higienópolis;;0.0;5.304.347.826.087;0.0;01/07/2005;31/07/2005;;Excelente oportunidade;Espaçoso e iluminado;Excelente oportunidade;Excelente oportunidade;Excelente oportunidade;225.0;Totalmente reformado;3.0;1.0;0;Imóvel bem localizado
Espaçoso e iluminado;Sobrado;Av. Paulista;92.0;Rua Augusta;0.0;0.0;6500.0;Higienópolis;;31.578.947.368.421;0.0;5100.0;04/07/2005;03/08/2005;;Imóvel bem localizado;Espaçoso e iluminado;Excelente oportunidade;Espaçoso e iluminado;Moderno e funcional;181.0;Moderno e funcional;0.0;0.0;0;Espaçoso e iluminado
Totalmente reformado;Ponto Comercial;Av. Paulista;1950.0;Rua Bela Cintra;2.0;0.0;2600.0;Pinheiros;Imóvel bem localizado;41.666.666.666.667;0.0;3100.0;07/07/2005;06/08/2005;;Espaçoso e iluminado;Espaçoso e iluminado;Totalmente reformado;Excelente oportunidade;Excelente oportunidade;60.0;Totalmente reformado;1.0;1.0;0;Excelente oportunidade
Imóvel bem localizado;Sobrado;Av. Paulista;195.0;Rua Augusta;0.0;0.0;38700.0;Vila Mariana;;0.0;0.0;83700.0;10/07/2005;09/08/2005;;Imóvel bem localizado;Moderno e funcional;Moderno e funcional;Imóvel bem localizado;Excelente oportunidade;2991.0;Espaçoso e iluminado;0.0;0.0;0;Totalmente reformado
Imóvel bem localizado;Sobrado;Av. Angélica;1.0;Rua Bela Cintra;2.0;360600.0;0.0;Higienópolis;;0.0;4800.0;0.0;13/07/2005;12/08/2005;;Totalmente reformado;Espaçoso e iluminado;Excelente oportunidade;Espaçoso e iluminado;Excelente oportunidade;117.0;Moderno e funcional;1.0;0.0;0;Excelente oportunidade
Moderno e funcional;Ponto Comercial;Rua Oscar Freire;434.0;Av. Ipiranga;0.0;1418800.0;0.0;Pinheiros;;0.0;3600.0;300.0;15/07/2005;14/08/2005;;Totalmente reformado;Imóvel bem localizado;Imóvel bem localizado;Moderno e funcional;Excelente oportunidade;449.0;Imóvel bem localizado;0.0;0.0;0;Espaçoso e iluminado
Moderno e funcional;Ponto Comercial;Rua Bela Cintra;564.0;Av. Paulista;0.0;1451000.0;0.0;Higienópolis;;0.0;3100.0;400.0;18/07/2005;17/08/2005;;Totalmente reformado;Imóvel bem localizado;Excelente oportunidade;Moderno e funcional;Totalmente reformado;454.0;Moderno e funcional;0.0;0.0;0;Moderno e funcional
Excelente oportunidade;Cobertura;Av. Ipiranga;57.0;Av. Angélica;5.0;0.0;14200.0;Tatuapé;;26.315.789.473.684;0.0;18300.0;21/07/2005;20/08/2005;;Totalmente reformado;Imóvel bem localizado;Espaçoso e iluminado;Imóvel bem localizado;Moderno e funcional;640.0;Imóvel bem localizado;0.0;0.0;0;Espaçoso e iluminado
Imóvel bem localizado;Studio;Rua Augusta;461.0;Av. Angélica;0.0;1073400.0;0.0;Higienópolis;;0.0;4200.0;500.0;24/07/2005;23/08/2005;;Espaçoso e iluminado;Excelente oportunidade;Excelente oportunidade;Totalmente reformado;Totalmente reformado;300.0;Espaçoso e iluminado;0.0;0.0;0;Espaçoso e iluminado
Imóvel bem localizado;Studio;Av. Paulista;216.0;Av. Paulista;0.0;332000.0;0.0;Vila Mariana;Totalmente reformado;0.0;10100.0;700.0;27/07/2005;26/08/2005;;Espaçoso e iluminado;Excelente oportunidade;Moderno e funcional;Moderno e funcional;Totalmente reformado;38.0;Totalmente reformado;0.0;0.0;0;Excelente oportunidade
Totalmente reformado;Studio;Av. Ipiranga;180.0;Rua Augusta;2.0;438300.0;0.0;Higienópolis;Moderno e funcional;0.0;8700.0;600.0;30/07/2005;29/08/2005;;Excelente oportunidade;Imóvel bem localizado;Excelente oportunidade;Espaçoso e iluminado;Moderno e funcional;59.0;Moderno e funcional;1.0;0.0;0;Totalmente reformado
Moderno e funcional;Casa;Rua Augusta;108.0;Av. Ipiranga;5.0;1155700.0;0.0;Moema;;0.0;83.606.557.377.049;0.0;02/08/2005;01/09/2005;;Totalmente reformado;Espaçoso e iluminado;Excelente oportunidade;Moderno e funcional;Imóvel bem localizado;142.0;Moderno e funcional;2.0;0.0;0;Totalmente reformado
